Source: Wittgenstein Centre for Demography and Global Human Capital (2015). Wittgenstein Centre Data Explorer Version 1.2.
Available at: www.wittgensteincentre.org/dataexplorer 
Note: Your selection includes at least one country with limited base year data on educational attainment. Please consult the FAQ for more information
""
"Educational Attainment Distribution by Broad Age"
"De facto population by level of educational attainment in a country or region, classified by sex and by broad age groups. Available in all scenarios and at all geographical scales. Figures are expressed as a percentage. "
"Medium (SSP2)"
" "
"Area","Year","Education","Distribution"
"Albania",1990,"Total",1
"Albania",1995,"Total",1
"Albania",2000,"Total",1
"Albania",2005,"Total",1
"Albania",2010,"Total",1
"Albania",2015,"Total",1
"Albania",2020,"Total",1
"Austria",1990,"Total",1
"Austria",1995,"Total",1
"Austria",2000,"Total",1
"Austria",2005,"Total",1
"Austria",2010,"Total",1
"Austria",2015,"Total",1
"Austria",2020,"Total",1
"Belgium",1990,"Total",1
"Belgium",1995,"Total",1
"Belgium",2000,"Total",1
"Belgium",2005,"Total",1
"Belgium",2010,"Total",1
"Belgium",2015,"Total",1
"Belgium",2020,"Total",1
"Bosnia and Herzegovina",1990,"Total",1
"Bosnia and Herzegovina",1995,"Total",1
"Bosnia and Herzegovina",2000,"Total",1
"Bosnia and Herzegovina",2005,"Total",1
"Bosnia and Herzegovina",2010,"Total",1
"Bosnia and Herzegovina",2015,"Total",1
"Bosnia and Herzegovina",2020,"Total",1
"Bulgaria",1990,"Total",1
"Bulgaria",1995,"Total",1
"Bulgaria",2000,"Total",1
"Bulgaria",2005,"Total",1
"Bulgaria",2010,"Total",1
"Bulgaria",2015,"Total",1
"Bulgaria",2020,"Total",1
"Belarus",1990,"Total",1
"Belarus",1995,"Total",1
"Belarus",2000,"Total",1
"Belarus",2005,"Total",1
"Belarus",2010,"Total",1
"Belarus",2015,"Total",1
"Belarus",2020,"Total",1
"Croatia",1990,"Total",1
"Croatia",1995,"Total",1
"Croatia",2000,"Total",1
"Croatia",2005,"Total",1
"Croatia",2010,"Total",1
"Croatia",2015,"Total",1
"Croatia",2020,"Total",1
"Czech Republic",1990,"Total",1
"Czech Republic",1995,"Total",1
"Czech Republic",2000,"Total",1
"Czech Republic",2005,"Total",1
"Czech Republic",2010,"Total",1
"Czech Republic",2015,"Total",1
"Czech Republic",2020,"Total",1
"Denmark",1990,"Total",1
"Denmark",1995,"Total",1
"Denmark",2000,"Total",1
"Denmark",2005,"Total",1
"Denmark",2010,"Total",1
"Denmark",2015,"Total",1
"Denmark",2020,"Total",1
"Estonia",1990,"Total",1
"Estonia",1995,"Total",1
"Estonia",2000,"Total",1
"Estonia",2005,"Total",1
"Estonia",2010,"Total",1
"Estonia",2015,"Total",1
"Estonia",2020,"Total",1
"Finland",1990,"Total",1
"Finland",1995,"Total",1
"Finland",2000,"Total",1
"Finland",2005,"Total",1
"Finland",2010,"Total",1
"Finland",2015,"Total",1
"Finland",2020,"Total",1
"France",1990,"Total",1
"France",1995,"Total",1
"France",2000,"Total",1
"France",2005,"Total",1
"France",2010,"Total",1
"France",2015,"Total",1
"France",2020,"Total",1
"Germany",1990,"Total",1
"Germany",1995,"Total",1
"Germany",2000,"Total",1
"Germany",2005,"Total",1
"Germany",2010,"Total",1
"Germany",2015,"Total",1
"Germany",2020,"Total",1
"Greece",1990,"Total",1
"Greece",1995,"Total",1
"Greece",2000,"Total",1
"Greece",2005,"Total",1
"Greece",2010,"Total",1
"Greece",2015,"Total",1
"Greece",2020,"Total",1
"Hungary",1990,"Total",1
"Hungary",1995,"Total",1
"Hungary",2000,"Total",1
"Hungary",2005,"Total",1
"Hungary",2010,"Total",1
"Hungary",2015,"Total",1
"Hungary",2020,"Total",1
"Iceland",1990,"Total",1
"Iceland",1995,"Total",1
"Iceland",2000,"Total",1
"Iceland",2005,"Total",1
"Iceland",2010,"Total",1
"Iceland",2015,"Total",1
"Iceland",2020,"Total",1
"Ireland",1990,"Total",1
"Ireland",1995,"Total",1
"Ireland",2000,"Total",1
"Ireland",2005,"Total",1
"Ireland",2010,"Total",1
"Ireland",2015,"Total",1
"Ireland",2020,"Total",1
"Italy",1990,"Total",1
"Italy",1995,"Total",1
"Italy",2000,"Total",1
"Italy",2005,"Total",1
"Italy",2010,"Total",1
"Italy",2015,"Total",1
"Italy",2020,"Total",1
"Latvia",1990,"Total",1
"Latvia",1995,"Total",1
"Latvia",2000,"Total",1
"Latvia",2005,"Total",1
"Latvia",2010,"Total",1
"Latvia",2015,"Total",1
"Latvia",2020,"Total",1
"Lithuania",1990,"Total",1
"Lithuania",1995,"Total",1
"Lithuania",2000,"Total",1
"Lithuania",2005,"Total",1
"Lithuania",2010,"Total",1
"Lithuania",2015,"Total",1
"Lithuania",2020,"Total",1
"Luxembourg",1990,"Total",1
"Luxembourg",1995,"Total",1
"Luxembourg",2000,"Total",1
"Luxembourg",2005,"Total",1
"Luxembourg",2010,"Total",1
"Luxembourg",2015,"Total",1
"Luxembourg",2020,"Total",1
"Malta",1990,"Total",1
"Malta",1995,"Total",1
"Malta",2000,"Total",1
"Malta",2005,"Total",1
"Malta",2010,"Total",1
"Malta",2015,"Total",1
"Malta",2020,"Total",1
"Republic of Moldova",1990,"Total",1
"Republic of Moldova",1995,"Total",1
"Republic of Moldova",2000,"Total",1
"Republic of Moldova",2005,"Total",1
"Republic of Moldova",2010,"Total",1
"Republic of Moldova",2015,"Total",1
"Republic of Moldova",2020,"Total",1
"Montenegro",1990,"Total",1
"Montenegro",1995,"Total",1
"Montenegro",2000,"Total",1
"Montenegro",2005,"Total",1
"Montenegro",2010,"Total",1
"Montenegro",2015,"Total",1
"Montenegro",2020,"Total",1
"Netherlands",1990,"Total",1
"Netherlands",1995,"Total",1
"Netherlands",2000,"Total",1
"Netherlands",2005,"Total",1
"Netherlands",2010,"Total",1
"Netherlands",2015,"Total",1
"Netherlands",2020,"Total",1
"Norway",1990,"Total",1
"Norway",1995,"Total",1
"Norway",2000,"Total",1
"Norway",2005,"Total",1
"Norway",2010,"Total",1
"Norway",2015,"Total",1
"Norway",2020,"Total",1
"Poland",1990,"Total",1
"Poland",1995,"Total",1
"Poland",2000,"Total",1
"Poland",2005,"Total",1
"Poland",2010,"Total",1
"Poland",2015,"Total",1
"Poland",2020,"Total",1
"Portugal",1990,"Total",1
"Portugal",1995,"Total",1
"Portugal",2000,"Total",1
"Portugal",2005,"Total",1
"Portugal",2010,"Total",1
"Portugal",2015,"Total",1
"Portugal",2020,"Total",1
"Romania",1990,"Total",1
"Romania",1995,"Total",1
"Romania",2000,"Total",1
"Romania",2005,"Total",1
"Romania",2010,"Total",1
"Romania",2015,"Total",1
"Romania",2020,"Total",1
"Russian Federation",1990,"Total",1
"Russian Federation",1995,"Total",1
"Russian Federation",2000,"Total",1
"Russian Federation",2005,"Total",1
"Russian Federation",2010,"Total",1
"Russian Federation",2015,"Total",1
"Russian Federation",2020,"Total",1
"Serbia",1990,"Total",1
"Serbia",1995,"Total",1
"Serbia",2000,"Total",1
"Serbia",2005,"Total",1
"Serbia",2010,"Total",1
"Serbia",2015,"Total",1
"Serbia",2020,"Total",1
"Slovakia",1990,"Total",1
"Slovakia",1995,"Total",1
"Slovakia",2000,"Total",1
"Slovakia",2005,"Total",1
"Slovakia",2010,"Total",1
"Slovakia",2015,"Total",1
"Slovakia",2020,"Total",1
"Slovenia",1990,"Total",1
